iter	Passed	Remaining
0	0	88
1	1	82
2	2	81
3	3	75
4	3	75
5	4	74
6	5	73
7	6	72
8	7	71
9	7	71
10	8	70
11	9	69
12	10	68
13	10	67
14	11	66
15	12	65
16	13	64
17	13	63
18	14	62
19	15	61
20	16	60
21	16	59
22	17	58
23	18	58
24	19	57
25	19	56
26	20	55
27	21	54
28	21	53
29	22	53
30	23	52
31	24	51
32	24	50
33	25	49
34	26	49
35	27	48
36	27	47
37	28	46
38	29	45
39	30	45
40	30	44
41	31	43
42	32	42
43	32	41
44	33	41
45	34	40
46	35	39
47	35	38
48	36	38
49	37	37
50	38	36
51	38	35
52	39	35
53	40	34
54	40	33
55	41	32
56	42	31
57	43	31
58	43	30
59	44	29
60	45	28
61	45	28
62	46	27
63	47	26
64	48	25
65	48	25
66	49	24
67	50	23
68	50	22
69	51	22
70	52	21
71	53	20
72	53	19
73	54	19
74	55	18
75	56	17
76	56	16
77	57	16
78	58	15
79	58	14
80	59	13
81	60	13
82	61	12
83	61	11
84	62	11
85	63	10
86	63	9
87	64	8
88	65	8
89	66	7
90	66	6
91	67	5
92	68	5
93	69	4
94	70	3
95	70	2
96	71	2
97	72	1
98	72	0
99	73	0
