iter	Passed	Remaining
0	144	144461
1	145	72592
2	146	48680
3	147	36670
4	147	29451
5	148	24628
6	149	21192
7	150	18625
8	151	16662
9	152	15056
10	152	13737
11	153	12658
12	154	11726
13	155	10939
14	156	10252
15	156	9645
16	157	9128
17	158	8656
18	159	8234
19	160	7855
20	161	7511
21	161	7194
22	162	6902
23	163	6635
24	163	6390
25	164	6161
26	165	5948
27	165	5753
28	166	5576
29	167	5420
30	168	5261
31	168	5111
32	169	4969
33	170	4835
34	170	4709
35	171	4590
36	172	4482
37	173	4381
38	173	4283
39	174	4189
40	175	4100
41	176	4015
42	176	3933
43	177	3855
44	178	3781
45	178	3711
46	179	3641
47	180	3574
48	180	3511
49	181	3450
50	182	3392
51	183	3337
52	183	3285
53	184	3235
54	185	3185
55	186	3138
56	186	3092
57	187	3047
58	188	3006
59	189	2967
60	190	2926
61	190	2888
62	191	2850
63	192	2813
64	193	2776
65	193	2741
66	194	2708
67	195	2676
68	196	2644
69	196	2613
70	197	2583
71	198	2553
72	198	2525
73	200	2503
74	200	2477
75	201	2450
76	202	2423
77	202	2398
78	203	2373
79	204	2348
80	204	2324
81	205	2302
82	206	2277
83	206	2255
84	207	2235
85	208	2214
86	209	2194
87	209	2175
88	210	2157
89	211	2138
90	212	2119
91	212	2101
92	213	2082
93	214	2065
94	214	2047
95	215	2030
96	216	2014
97	217	1998
98	217	1982
99	218	1966
100	219	1950
101	219	1935
102	220	1920
103	221	1906
104	222	1893
105	222	1879
106	223	1865
107	224	1851
108	224	1837
109	225	1823
110	226	1810
111	226	1798
112	227	1787
113	228	1775
114	229	1763
115	229	1752
116	230	1739
117	231	1727
118	231	1716
119	232	1706
120	233	1695
121	233	1683
122	234	1672
123	235	1663
124	236	1653
125	236	1643
126	237	1632
127	238	1623
128	239	1614
129	239	1604
130	240	1594
131	241	1585
132	241	1575
133	242	1566
134	243	1558
135	243	1548
136	244	1541
137	245	1533
138	246	1524
139	246	1515
140	247	1507
141	247	1497
142	248	1489
143	249	1482
144	250	1475
145	250	1467
146	251	1459
147	252	1451
148	252	1444
149	253	1436
150	254	1430
151	255	1424
152	256	1418
153	257	1411
154	257	1405
155	258	1398
156	259	1393
157	260	1386
158	260	1379
159	261	1373
160	262	1365
161	262	1359
162	263	1352
163	264	1346
164	264	1340
165	265	1334
166	266	1328
167	266	1322
168	267	1315
169	268	1309
170	269	1304
171	269	1298
172	270	1293
173	271	1288
174	272	1282
175	272	1277
176	273	1271
177	274	1266
178	274	1260
179	275	1255
180	276	1249
181	276	1244
182	277	1239
183	278	1233
184	278	1228
185	279	1223
186	280	1217
187	280	1212
188	281	1207
189	282	1202
190	282	1197
191	283	1193
192	284	1188
193	284	1183
194	285	1178
195	286	1173
196	286	1169
197	287	1164
198	288	1160
199	288	1155
200	289	1151
201	290	1146
202	291	1142
203	291	1138
204	292	1134
205	293	1130
206	293	1125
207	294	1121
208	295	1117
209	295	1112
210	296	1108
211	297	1104
212	297	1100
213	298	1096
214	299	1093
215	299	1088
216	300	1084
217	301	1080
218	301	1076
219	302	1072
220	303	1068
221	303	1064
222	304	1060
223	305	1056
224	305	1053
225	306	1049
226	307	1045
227	307	1041
228	308	1037
229	308	1034
230	309	1030
231	310	1026
232	310	1022
233	311	1019
234	311	1015
235	312	1011
236	313	1007
237	313	1004
238	314	1000
239	314	996
240	315	993
241	315	989
242	316	986
243	317	982
244	317	979
245	318	975
246	318	972
247	319	968
248	320	965
249	320	962
250	321	959
251	322	955
252	322	952
253	323	949
254	323	945
255	324	942
256	324	939
257	325	936
258	326	933
259	326	930
260	327	927
261	328	924
262	328	921
263	329	918
264	330	915
265	330	912
266	331	910
267	332	907
268	332	904
269	333	901
270	334	899
271	334	896
272	335	893
273	336	890
274	336	888
275	337	885
276	338	882
277	338	879
278	339	877
279	340	874
280	340	871
281	341	869
282	342	866
283	342	863
284	343	861
285	343	858
286	344	856
287	345	853
288	345	851
289	346	848
290	347	845
291	347	843
292	348	841
293	349	838
294	349	836
295	350	833
296	351	831
297	351	829
298	352	826
299	353	824
300	354	822
301	354	819
302	355	817
303	356	815
304	356	813
305	357	810
306	358	808
307	358	805
308	359	803
309	360	801
310	360	799
311	361	797
312	362	794
313	362	792
314	363	790
315	364	787
316	364	785
317	365	783
318	366	781
319	366	779
320	367	776
321	367	774
322	368	772
323	369	770
324	369	767
325	370	765
326	371	763
327	371	761
328	372	759
329	373	757
330	373	755
331	374	753
332	375	751
333	375	749
334	376	747
335	377	745
336	377	743
337	378	741
338	378	738
339	379	736
340	380	734
341	381	733
342	382	731
343	382	729
344	383	728
345	384	726
346	384	724
347	385	722
348	386	720
349	386	718
350	387	716
351	388	714
352	388	712
353	389	710
354	390	709
355	390	707
356	391	705
357	392	703
358	393	701
359	393	699
360	394	697
361	394	695
362	395	693
363	396	692
364	396	690
365	397	688
366	398	686
367	398	684
368	399	683
369	400	681
370	400	679
371	401	677
372	402	675
373	402	674
374	403	672
375	404	670
376	404	668
377	405	666
378	405	665
379	406	663
380	407	661
381	407	659
382	408	658
383	409	656
384	410	655
385	410	653
386	411	651
387	412	650
388	412	648
389	413	646
390	414	645
391	414	643
392	415	641
393	416	640
394	416	638
395	417	636
396	418	634
397	418	633
398	419	631
399	419	629
400	420	628
401	421	626
402	421	624
403	422	623
404	423	621
405	423	619
406	424	618
407	424	616
408	425	614
409	426	613
410	426	611
411	427	609
412	427	608
413	428	606
414	429	605
415	429	603
416	430	601
417	431	600
418	431	598
419	432	597
420	432	595
421	433	593
422	434	592
423	434	590
424	435	589
425	436	587
426	436	585
427	437	584
428	437	582
429	438	581
430	439	579
431	439	578
432	440	576
433	440	574
434	441	573
435	442	571
436	442	570
437	443	568
438	443	567
439	444	565
440	445	564
441	445	562
442	446	561
443	447	559
444	447	558
445	448	556
446	448	555
447	449	553
448	449	552
449	450	550
450	451	549
451	451	547
452	452	546
453	452	544
454	453	543
455	454	541
456	454	540
457	455	538
458	456	537
459	456	536
460	457	534
461	457	533
462	458	531
463	459	530
464	459	528
465	460	527
466	460	525
467	461	524
468	462	523
469	462	521
470	463	520
471	463	518
472	464	517
473	465	516
474	465	514
475	466	513
476	466	511
477	467	510
478	468	509
479	468	507
480	469	506
481	470	505
482	470	504
483	471	502
484	472	501
485	472	500
486	473	498
487	474	497
488	474	496
489	475	495
490	476	493
491	476	492
492	477	491
493	478	489
494	478	488
495	479	487
496	480	485
497	480	484
498	481	483
499	482	482
500	482	481
501	483	479
502	484	478
503	484	477
504	485	475
505	486	474
506	486	473
507	487	472
508	488	470
509	488	469
510	489	468
511	489	466
512	490	465
513	491	464
514	491	463
515	492	462
516	493	460
517	493	459
518	494	458
519	494	456
520	495	455
521	496	454
522	496	453
523	497	451
524	498	450
525	498	449
526	499	448
527	499	446
528	500	445
529	501	444
530	502	443
531	502	442
532	503	441
533	504	439
534	504	438
535	505	437
536	506	436
537	506	435
538	507	433
539	508	432
540	508	431
541	509	430
542	510	429
543	510	428
544	511	426
545	512	425
546	512	424
547	513	423
548	514	422
549	514	421
550	515	419
551	516	418
552	516	417
553	517	416
554	518	415
555	518	414
556	519	413
557	520	411
558	520	410
559	521	409
560	521	408
561	522	407
562	523	406
563	523	404
564	524	403
565	525	402
566	525	401
567	526	400
568	526	399
569	527	397
570	528	396
571	528	395
572	529	394
573	530	393
574	531	392
575	531	391
576	532	390
577	532	389
578	533	387
579	534	386
580	534	385
581	535	384
582	536	383
583	536	382
584	537	381
585	537	380
586	538	378
587	539	377
588	540	376
589	540	375
590	541	374
591	541	373
592	542	372
593	543	371
594	543	370
595	544	368
596	544	367
597	545	366
598	546	365
599	546	364
600	547	363
601	548	362
602	548	361
603	549	360
604	549	359
605	550	357
606	551	356
607	551	355
608	552	354
609	553	353
610	553	352
611	554	351
612	554	350
613	555	349
614	556	348
615	556	347
616	557	345
617	557	344
618	558	343
619	559	342
620	559	341
621	560	340
622	560	339
623	561	338
624	561	337
625	562	336
626	563	335
627	564	334
628	564	333
629	565	332
630	565	330
631	566	329
632	567	328
633	567	327
634	568	326
635	569	325
636	569	324
637	570	323
638	571	322
639	571	321
640	572	320
641	572	319
642	573	318
643	574	317
644	574	316
645	575	315
646	576	314
647	576	313
648	577	312
649	577	311
650	578	310
651	579	309
652	579	308
653	580	307
654	581	306
655	581	305
656	582	304
